Table 1
Parameter file,SolverNodes,SolverSolveTime,Savile Row TotalTime,Amount of Steps,Steps encoded in the order that was presented in the instructions
Item 1,1.00,0.00,0.21,6.00,"[1, 2, 1, 2, 1, 2]"
Item 2,17.00,0.00,0.52,9.00,"[1, 1, 1, 2, 4, 5, 2, 5, 2]"
Item 3,64.00,0.00,0.65,10.00,"[1, 4, 1, 5, 2, 1, 4, 1, 5, 2]"
Item 4,1.00,0.00,0.30,11.00,"[1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2]"
Item 5,"2,383.00",0.09,0.86,13,"[1, 4, 1, 5, 2, 4, 5, 2, 1, 4, 5, 5, 2]"
Item 6,"14,728.00",0.10,0.81,14.00,"[1, 4, 5, 4, 5, 4, 5, 2, 4, 5, 2, 1, 5, 2]"
Item 7,27.00,0.00,0.57,11.00,"[1, 1, 1, 4, 6, 2, 1, 6, 2, 7, 2]"
Item 8,10.00,0.00,0.84,15.00,"[1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2]"
Item 9,11.00,0.00,0.55,10.00,"[1, 2, 1, 1, 2, 1, 4, 3, 1, 2]"
Item 10,"175,020.00",7.78,1.34,20.00,"[1, 1, 1, 1, 4, 7, 7, 2, 5, 2, 3, 7, 7, 7, 2, 5, 2, 4, 5, 2]"
Item 11 ,"75,780.00",4.25,1.54,24.00,"[1, 1, 1, 1, 2, 4, 7, 2, 2, 6, 2, 3, 2, 2, 6, 2, 3, 2, 6, 2, 3, 2, 6, 2]"
Item 12 ,"967,115.00",98.75,2.63,40.00,"[1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 4, 3, 3, 3, 3, 3, 3, 3, 3, 7, 7, 7, 2, 8, 2, 8, 2, 6, 2, 7, 2, 8, 2, 6, 2, 3, 2, 6, 2, 2]"
Item 13,"80,800.00",2.79,1.26,14.00,"[1, 4, 1, 1, 2, 5, 5, 4, 5, 2, 5, 5, 5, 2]"
Item 14,"49,044.00",1.37,0.79,16.00,"[1, 1, 1, 4, 3, 5, 2, 4, 5, 5, 5, 5, 5, 2, 8, 2]"
Item 15,"136,583.00",4.28,0.84,12.00,"[1, 1, 1, 4, 3, 6, 2, 7, 7, 2, 7, 2]"
Item 16,11.00,0.00,0.93,17.00,"[1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 4, 1, 2]"
Item 17,0.00,0.00,0.69,0.00,[]
Item 18,"1,353.00",0.08,0.96,0.00,[]
Item 19,0.00,0.00,0.16,0.00,[]
Item 20,"5,590.00",0.33,1.05,0.00,[]
